timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ground_truth_lat,ground_truth_lon,ground_truth_speed,ground_truth_heading,gnss_status
0.0,-0.0716,-2.7477,10.5674,-0.0214,0.4927,-0.237,52.5589784,-1.4832005,40.547,31.141,1
0.1,4.8404,6.7711,8.9985,-0.0223,0.8745,-0.5287,52.5589872,-1.4831921999999995,40.597,30.066,1
0.2,0.2017,0.742,9.4676,0.1146,-0.349,0.2108,52.5589962,-1.483184,41.148,29.067,1
0.30000000000000004,4.4292,5.1777,7.8086,-0.0692,0.3481,-0.2188,52.5590054,-1.4831758000000002,41.803,28.443,1
0.4,1.3211,0.7961,9.6865,0.0287,-0.7467,0.422,52.5590148,-1.4831678000000004,42.041,27.79,1
0.5,1.9307,1.4061,9.8211,0.0419,-0.4032,0.2864,52.5590242,-1.4831597,42.48,27.438,1
0.6000000000000001,6.1093,1.9357,7.7019,-0.041,-0.2601,0.1121,52.5590339,-1.4831517,43.063,26.716,1
0.7000000000000001,-0.2789,-2.3815,11.05,0.163,-0.7017,0.3319,52.5590435,-1.4831438999999995,43.128,26.309,1
0.8,6.5134,4.3074,7.99,-0.0236,0.4102,-0.3496,52.5590534,-1.4831359999999998,43.679,26.117,1
0.9,-3.6897,0.2491,10.1264,0.0731,-0.4044,0.1479,52.5590634,-1.4831279,44.33,26.043000000000006,1
1.0,-3.1513,-5.104,10.9235,-0.0465,0.8213,-0.5959,52.5590733,-1.4831198999999995,44.38800000000001,25.994,1
1.1,3.4935,5.4789,8.1041,-0.1401,0.249,-0.0747,52.559083500000014,-1.4831118,44.93899999999999,26.01,1
1.2000000000000002,-1.191,1.0914,10.3851,-0.1337,0.3878,-0.223,52.5590937,-1.4831035,45.529,26.353,1
1.3,-2.3564,-2.2971,10.8067,-0.1413,0.4365,-0.3244,52.5591041,-1.4830953,45.95,25.552,1
1.4000000000000001,-1.8511,-2.2558,10.6703,-0.1216,-0.0593,-0.0411,52.5591145,-1.4830871,46.166,25.718000000000004,1
1.5,-0.0605,-1.2188,9.9382,0.17,-0.0191,0.081,52.559125,-1.483079,46.548,25.184,1
1.6,-3.2297,-3.0246,11.1728,0.2054,-0.3042,0.2344,52.5591357,-1.4830706,47.135,25.469,1
1.7000000000000002,-0.9119,0.0535,9.6111,0.0352,-0.2953,-0.0729,52.5591464,-1.4830621999999996,47.552,25.359,1
1.8,0.8616,2.4787,9.1966,-0.0158,-0.2044,0.1685,52.5591573,-1.4830539,47.84,25.177,1
1.9000000000000001,-0.6027,-0.8596,10.3671,0.0007,-0.2527,0.1645,52.55916820000001,-1.4830455,48.024,25.159,1
2.0,1.7393,1.7406,9.1829,-0.0426,0.2202,-0.1356,52.5591791,-1.483037,48.40600000000001,25.068,1
2.1,0.875,-0.8211,10.8317,0.092,-0.039,-0.0349,52.5591901,-1.4830286999999995,48.28,25.02,1
2.2,-2.3093,-1.0922,9.7106,0.0141,0.374,-0.2818,52.5592008,-1.4830202,47.682,25.483,1
2.3000000000000003,2.7554,1.8259,9.2847,-0.0677,0.1007,0.0121,52.5592117,-1.4830117999999997,47.959,25.204,1
2.4000000000000004,0.4084,0.6292,9.4759,-0.0525,0.2327,-0.1329,52.5592225,-1.4830034,47.963,25.474,1
2.5,0.6586,0.5212,10.1153,0.0127,0.0225,-0.1046,52.559233299999995,-1.4829951000000003,47.812,25.119,1
2.6,-1.6838,-0.2979,9.5707,0.0869,0.1575,-0.2025,52.559244199999995,-1.4829868,47.862,25.031,1
2.7,0.6526,1.0061,8.9919,-0.1047,0.1396,-0.0181,52.5592551,-1.4829784000000004,48.161,24.936,1
2.8000000000000003,1.7684,-0.7348,10.9245,-0.0286,-0.1194,0.0484,52.559265800000006,-1.4829702,47.581,25.015,1
2.9000000000000004,0.7637,1.0723,9.8211,-0.0201,-0.0561,0.1348,52.5592766,-1.4829617999999996,47.7,25.362,1
3.0,1.2617,0.26,9.7113,-0.0553,-0.189,0.1788,52.5592874,-1.4829534,47.754,25.184,1
3.1,-2.9291,-0.265,9.38,-0.0838,-0.0146,0.1235,52.5592981,-1.482945,47.538,25.629,1
3.2,2.096,1.2386,10.6489,-0.0254,-0.0753,0.1757,52.5593088,-1.4829367,47.394,25.392,1
3.3000000000000003,1.2402,0.5344,10.8802,0.1434,0.0131,-0.0662,52.5593194,-1.4829283,47.264,25.615,1
3.4000000000000004,1.2875,1.5665,8.5615,0.06,0.0381,0.0345,52.5593301,-1.4829198999999995,47.31100000000001,25.454,1
3.5,1.315,0.1579,10.2329,-0.0592,0.1806,-0.0925,52.5593407,-1.4829115,47.128,25.823,1
3.6,0.3289,0.7367,9.7115,0.0692,0.2046,-0.0889,52.5593513,-1.482903,47.106,26.136,1
3.7,2.5451,1.3852,9.6601,-0.0529,0.1402,-0.0767,52.5593617,-1.4828943,46.915,26.674,1
3.8000000000000003,-0.4874,0.8094,9.8619,0.0345,0.0506,-0.1071,52.5593722,-1.4828856,47.045,26.812,1
3.9000000000000004,2.0735,2.2625,9.2625,-0.001,0.0389,0.1432,52.559382600000006,-1.4828766999999998,46.984,27.387,1
4.0,3.0929,1.7841,9.1594,-0.1404,0.1304,0.0102,52.559393,-1.4828678999999996,46.768,27.465,1
4.1000000000000005,0.5463,1.1355,9.2654,-0.0125,-0.1391,0.1613,52.5594033,-1.482859,46.82899999999999,27.829,1
4.2,2.019,1.3987,9.4617,-0.0644,0.2592,0.0236,52.5594137,-1.48285,46.699,27.928,1
4.3,3.3547,1.5572,10.6315,0.1075,0.229,-0.1148,52.5594239,-1.4828409,46.764,28.394,1
4.4,1.9904,1.864,8.9214,0.1259,-0.0137,0.1036,52.559434200000005,-1.4828317999999996,46.588,28.555,1
4.5,1.2524,2.2761,9.2478,-0.062,0.117,-0.1277,52.5594444,-1.4828225000000002,46.843,28.754,1
4.6000000000000005,2.8912,1.4477,10.0635,-0.0601,0.1693,-0.1514,52.5594546,-1.4828132000000005,46.717,28.948,1
4.7,0.8974,1.5603,8.8849,-0.1469,0.1505,0.1395,52.5594648,-1.4828038,46.861,29.408,1
4.800000000000001,2.5344,1.9671,9.4092,-0.0261,0.0327,0.2003,52.559475,-1.4827944,46.642,29.266,1
4.9,0.3392,0.5614,11.0199,0.12,-0.044,0.0062,52.5594851,-1.4827848999999995,46.649,29.702,1
5.0,1.4095,1.4129,10.5116,-0.0313,0.1182,0.005,52.5594952,-1.4827753999999995,46.598,29.62,1
5.1000000000000005,2.4757,1.8262,9.2206,-0.0371,0.2192,-0.1178,52.5595055,-1.4827659000000004,46.868,29.471,1
5.2,1.7751,1.0851,10.3463,-0.0413,0.1595,-0.1219,52.559515600000005,-1.4827564,46.83600000000001,29.579,1
5.300000000000001,0.6404,1.3713,9.9315,0.0184,0.0634,0.05,52.5595258,-1.4827475,46.242,28.491,1
5.4,2.6493,0.1599,10.2644,0.014,0.2253,-0.0213,52.5595364,-1.4827384,47.585,27.71,1
5.5,1.3182,3.5344,8.8643,0.0301,0.0151,0.0277,52.5595468,-1.4827298999999998,46.843,26.827,1
5.6000000000000005,2.4043,1.1702,9.8428,-0.0061,-0.0294,0.1328,52.559557000000005,-1.4827207000000004,46.728,28.292,1
5.7,3.5754,2.0415,9.9382,0.0642,0.0757,0.0668,52.5595674,-1.482711,47.563,29.286,1
5.800000000000001,1.1896,1.1582,9.4397,-0.021,0.0461,0.0556,52.559578,-1.4827024999999998,47.21,26.822,1
5.9,2.0454,2.098,9.8624,-0.0734,0.2828,-0.1219,52.5595882,-1.4826929,46.919,28.987,1
6.0,3.0293,2.7353,9.9236,0.0074,0.1176,-0.0172,52.5595984,-1.4826834,46.919,29.284,1
6.1000000000000005,3.455,2.2794,10.0582,0.0012,0.3876,-0.2336,52.5596087,-1.4826734,47.862,30.129,1
6.2,3.677,1.0443,9.9192,-0.007,0.2575,-0.0467,52.5596188,-1.4826623,48.40600000000001,32.579,1
6.300000000000001,1.5205,1.8343,9.6002,0.031,0.2998,-0.0518,52.5596292,-1.4826526000000004,48.139,30.498,1
6.4,2.9484,2.0097,8.9606,-0.1503,0.3844,-0.1541,52.5596396,-1.4826429,47.977,29.939,1
