timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,acc_x_clean,acc_y_clean,acc_z_clean,gyro_x_clean,gyro_y_clean,gyro_z_clean,acc_magnitude,gyro_magnitude,longitudinal_acc,lateral_acc,vertical_acc,yaw_rate,acc_mean,acc_std,gyro_mean,gyro_std,ground_truth_lat,ground_truth_lon,ground_truth_speed,ground_truth_heading,gnss_status
0.0,-0.0716,-2.7477,10.5674,-0.0214,0.4927,-0.237,-0.0957380143811878,-2.811574386390698,0.7610673231344572,-0.02422205364423503,0.4918664617920985,-0.21177123757968366,2.914333503212858,0.5360656500697026,-2.811574386390698,-0.0957380143811878,0.7610673231344572,-0.21177123757968366,2.914333503212858,0.0,0.5360656500697026,0.0,52.5589784,-1.4832005,40.547,31.141,1
0.1,4.8404,6.7711,8.9985,-0.0223,0.8745,-0.5287,2.7986927019395957,3.8628984857743163,-0.3555663473660651,0.02184776096200938,0.5105177619043492,-0.27317507377707473,4.78341854521081,0.5794224113822222,3.8628984857743163,2.7986927019395957,-0.3555663473660651,-0.27317507377707473,3.848876024211834,1.3216427078110948,0.5577440307259625,0.030657859934369078,52.5589872,-1.4831921999999995,40.597,30.066,1
0.2,0.2017,0.742,9.4676,0.1146,-0.349,0.2108,2.818209300765918,4.163964085234604,-1.120949062681931,0.03317511074797125,0.18268607577357038,-0.0938340006642059,5.151449055088741,0.20803752049891636,4.163964085234604,2.818209300765918,-1.120949062681931,-0.0938340006642059,4.283067034504136,1.1995562612112332,0.4411751939836137,0.20306361881506677,52.5589962,-1.483184,41.148,29.067,1
0.3,4.4292,5.1777,7.8086,-0.0692,0.3481,-0.2188,2.2860621293273184,2.6358738104115416,-1.1416909057513172,0.0006125622995068521,-0.15826794849933767,0.10435780911324874,3.671153623567567,0.1895776122797126,2.6358738104115416,2.2860621293273184,-1.1416909057513172,0.10435780911324874,4.130088681769994,1.0261089877924217,0.37827579855763843,0.208123099720638,52.5590054,-1.4831758000000002,41.803,28.443,1
0.4,1.3211,0.7961,9.6865,0.0287,-0.7467,0.422,2.2294071948613046,2.108262281038126,-0.5212906470702255,-0.0033870415763843417,-0.4070372233270128,0.26813694796158793,3.112357663391264,0.48743019611690036,2.108262281038126,2.2294071948613046,-0.5212906470702255,0.26813694796158793,3.926542478094248,0.9984137550511474,0.40010667806949085,0.18673337939238407,52.5590148,-1.4831678000000004,42.041,27.79,1
0.5,1.9307,1.4061,9.8211,0.0419,-0.4032,0.2864,2.7993669292448544,1.4172951708547192,-0.5180535721153805,0.011053502018245313,-0.4927972395297408,0.33403887756344747,3.1801824333612343,0.5954437596606819,1.4172951708547192,2.7993669292448544,-0.5180535721153805,0.33403887756344747,3.979712264123923,0.9361718968641063,0.41198229998768665,0.19902512486787302,52.5590242,-1.4831597,42.48,27.438,1
0.6000000000000001,6.1093,1.9357,7.7019,-0.041,-0.2601,0.1121,3.4164185946559043,0.12330431764480147,-0.6838976680996282,0.03255340782524214,-0.43636652625573336,0.2569048363241949,3.486378635359703,0.5074205006937477,0.12330431764480147,3.4164185946559043,-0.6838976680996282,0.2569048363241949,3.720304282153702,0.8316614484533958,0.39758191784999175,0.18606410557676586,52.5590339,-1.4831517,43.063,26.716,1
0.7000000000000001,-0.2789,-2.3815,11.05,0.163,-0.7017,0.3319,3.7427756535164187,0.5273194704186197,-0.5104374011337109,0.06364437865851297,-0.3123473040246148,0.12675536634881748,3.8140505708385626,0.34304280806409027,0.5273194704186197,3.7427756535164187,-0.5104374011337109,0.12675536634881748,3.4528245853036665,0.30394453596929777,0.4245829753630265,0.1595944516041149,52.5590435,-1.4831438999999995,43.128,26.309,1
0.8,6.5134,4.3074,7.99,-0.0236,0.4102,-0.3496,2.3896597416674323,1.953914307072616,-0.507221727045934,0.05699027104737655,-0.1105201779953439,-0.015561493206366836,3.128182967909099,0.12531863711750038,1.953914307072616,2.3896597416674323,-0.507221727045934,-0.015561493206366836,3.344230454171972,0.30343463381610314,0.41173118033058415,0.18397509085546446,52.5590534,-1.4831359999999998,43.679,26.117,1
0.9,-3.6897,0.2491,10.1264,0.0731,-0.4044,0.1479,-1.6372468813370413,-0.43398355983267234,0.10128031361501731,0.02263664645533308,0.13373396397348453,-0.1681193131985986,1.6968137147544697,0.2160122550995047,-0.43398355983267234,-1.6372468813370413,0.10128031361501731,-0.1681193131985986,3.0611216644446135,0.8105174729918787,0.35744759212710503,0.195722605479332,52.5590634,-1.4831279,44.33,26.043000000000006,1
1.0,-3.1513,-5.104,10.9235,-0.0465,0.8213,-0.5959,-2.099759791214386,-1.5930984376561337,0.24774909643014853,-0.04487818662011191,0.3935641694003447,-0.2711242829252705,2.6473257124209426,0.4800158162621675,-1.5930984376561337,-2.099759791214386,0.24774909643014853,-0.2711242829252705,2.9545503202565557,0.8258357376480016,0.33436200344740213,0.16503440926514643,52.5590733,-1.4831198999999995,44.38800000000001,25.994,1
